nohup: ignoring input
/home/asc23/lcy/gnn/TCS/layer.py:14: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  timestamps_tensors = [torch.tensor(timestamps).float() for timestamps in timestamps_list]
edge_index shape: torch.Size([2, 119670])
edge_attr shape: torch.Size([119670, 1])
successfully read graph
successfully split graph
begin to train
Epoch 1, Loss: 0.2094
Epoch 2, Loss: 0.2243
Epoch 3, Loss: 0.2182
Epoch 4, Loss: 0.0682
Epoch 5, Loss: 0.2182
Epoch 6, Loss: 0.0682
Epoch 7, Loss: 0.0766
Epoch 8, Loss: 0.2243
Epoch 9, Loss: 0.0682
Epoch 10, Loss: 0.0417
Epoch 11, Loss: 0.2182
Epoch 12, Loss: 0.0417
Epoch 13, Loss: 0.2243
Epoch 14, Loss: 0.2334
Epoch 15, Loss: 0.0682
Epoch 16, Loss: 0.0766
Epoch 17, Loss: 0.2182
Epoch 18, Loss: 0.2243
Epoch 19, Loss: 0.0749
Epoch 20, Loss: 0.0682
Epoch 21, Loss: 0.0729
Epoch 22, Loss: 0.1369
Epoch 23, Loss: 0.0417
Epoch 24, Loss: 0.2243
Epoch 25, Loss: 0.0126
Epoch 26, Loss: 0.2334
Epoch 27, Loss: 0.1031
Epoch 28, Loss: 0.0717
Epoch 29, Loss: 0.0729
Epoch 30, Loss: 0.2243
Epoch 31, Loss: 0.1377
Epoch 32, Loss: 0.0766
Epoch 33, Loss: 0.2243
Epoch 34, Loss: 0.1369
Epoch 35, Loss: 0.0682
Epoch 36, Loss: 0.2243
Epoch 37, Loss: 0.0682
Epoch 38, Loss: 0.2182
Epoch 39, Loss: 0.2334
Epoch 40, Loss: 0.2094
Epoch 41, Loss: 0.2243
Epoch 42, Loss: 0.0766
Epoch 43, Loss: 0.2334
Epoch 44, Loss: 0.0682
Epoch 45, Loss: 0.2338
Epoch 46, Loss: 0.2338
Epoch 47, Loss: 0.2171
Epoch 48, Loss: 0.0098
Epoch 49, Loss: 0.0766
社区的时间割 TC(S): 0.0000
社区的时间密度 TD(S): 0.0000
社区节点数: 0, 邻居节点数: 10, 社区节点占比: 0.00%
Epoch 50, Loss: 0.2182
Epoch 1, Loss: 0.0382
Epoch 2, Loss: 0.0215
Epoch 3, Loss: 0.2056
Epoch 4, Loss: 0.2707
Epoch 5, Loss: 0.1200
Epoch 6, Loss: 0.0041
Epoch 7, Loss: 0.0081
Epoch 8, Loss: 0.0608
Epoch 9, Loss: 0.0718
Epoch 10, Loss: 0.2606
Epoch 11, Loss: 0.0839
Epoch 12, Loss: 0.2744
Epoch 13, Loss: 0.1164
Epoch 14, Loss: 0.3431
Epoch 15, Loss: 0.3026
Epoch 16, Loss: 0.4271
Epoch 17, Loss: 0.2875
Epoch 18, Loss: 0.0338
Epoch 19, Loss: 0.3197
Epoch 20, Loss: 0.0540
Epoch 21, Loss: 0.1900
Epoch 22, Loss: 0.3197
Epoch 23, Loss: 0.5070
Epoch 24, Loss: 0.0447
Epoch 25, Loss: 0.1548
Epoch 26, Loss: 0.0790
Epoch 27, Loss: 0.2665
Epoch 28, Loss: 0.0178
Epoch 29, Loss: 0.1411
Epoch 30, Loss: 0.0274
Epoch 31, Loss: 0.2479
Epoch 32, Loss: 0.1596
Epoch 33, Loss: 0.0034
Epoch 34, Loss: 0.1380
Epoch 35, Loss: 0.2620
Epoch 36, Loss: 0.0886
Epoch 37, Loss: 0.1921
Epoch 38, Loss: 0.0869
Epoch 39, Loss: 0.0140
Epoch 40, Loss: 0.2020
Epoch 41, Loss: 0.0371
Epoch 42, Loss: 0.0209
Epoch 43, Loss: 0.0464
Epoch 44, Loss: 0.2270
Epoch 45, Loss: 0.0229
Epoch 46, Loss: 0.0262
Epoch 47, Loss: 0.0256
Epoch 48, Loss: 0.0782
Epoch 49, Loss: 0.1492
社区的时间割 TC(S): 0.7693
社区的时间密度 TD(S): 0.0117
社区节点数: 19, 邻居节点数: 19, 社区节点占比: 4.81%
Epoch 50, Loss: 0.2760
Epoch 1, Loss: 0.0414
Epoch 2, Loss: 0.2278
Epoch 3, Loss: 0.1742
Epoch 4, Loss: 0.0802
Epoch 5, Loss: 0.0336
Epoch 6, Loss: 0.3858
Epoch 7, Loss: 0.1128
Epoch 8, Loss: 0.0258
Epoch 9, Loss: 0.0518
Epoch 10, Loss: 0.1809
Epoch 11, Loss: 0.0325
Epoch 12, Loss: 0.0217
Epoch 13, Loss: 0.0531
Epoch 14, Loss: 0.3866
Epoch 15, Loss: 0.0478
Epoch 16, Loss: 0.3601
Epoch 17, Loss: 0.1184
Epoch 18, Loss: 0.2605
Epoch 19, Loss: 0.3202
Epoch 20, Loss: 0.0539
Epoch 21, Loss: 0.1908
Epoch 22, Loss: 0.2060
Epoch 23, Loss: 0.4710
Epoch 24, Loss: 0.0681
Epoch 25, Loss: 0.1676
Epoch 26, Loss: 0.0064
Epoch 27, Loss: 0.0603
Epoch 28, Loss: 0.2180
Epoch 29, Loss: 0.0306
Epoch 30, Loss: 0.3484
Epoch 31, Loss: 0.3525
Epoch 32, Loss: 0.0238
Epoch 33, Loss: 0.1128
Epoch 34, Loss: 0.1042
Epoch 35, Loss: 0.0924
